item,adjective,form
q_20216,contented,A
q_20217,innocent,A
q_20218,unrespectful,A
q_20219,understanding,A
q_20220,cognitive,A
q_20221,even-handed,A
q_20222,star-crossed,A
q_20223,elusive,A
q_20224,erudite,A
q_20225,stentorian,A
q_20226,ordinary,A
q_20227,thickheaded,A
q_20228,pliable,A
q_20229,disdainful,A
q_20230,morbid,A
q_20231,dodgy,A
q_20232,bizarre,A
q_20233,nondescript,A
q_20234,sluttish,A
q_20235,alcoholic,A
q_20236,undelaying,A
q_20237,slanderous,A
q_20238,assured,A
q_20239,heartless,A
q_20240,experiential,A
q_20241,defiant,A
q_20242,indivertible,A
q_20243,unmelancholy,A
q_20244,grandiose,A
q_20245,nonhostile,A
q_20246,dauntless,A
q_20247,incorruptible,A
q_20248,dictatorial,A
q_20249,withdrawing,A
q_20250,disputatious,A
q_20251,well-known,A
q_20252,conscientious,A
q_20253,unchangeable,A
q_20254,incorrigible,A
q_20255,sedate,A
q_20256,selective,A
q_20257,sassy,A
q_20258,distractible,A
q_20259,overworked,A
q_20260,sensual,A
q_20261,unyielding,A
q_20262,inattentive,A
q_20263,undeceivable,A
q_20264,accurate,A
q_20265,cocky,A
q_20266,slippery,A
q_20267,unpersonable,A
q_20268,agreeable,A
q_20269,inaggressive,A
q_20270,recalcitrant,A
q_20271,thick-skinned,A
q_20272,provocable,A
q_20273,unbalanced,A
q_20274,frugal,A
q_20275,frivolous,A
q_20276,namby-pamby,A
q_20277,regal,A
q_20278,lugubrious,A
q_20279,frolicsome,A
q_20280,dense,A
q_20281,disingenuous,A
q_20282,solicitous,A
q_20283,ethereal,A
q_20284,encyclopedic,A
q_20285,bewildered,A
q_20286,abusive,A
q_20287,insane,A
q_20288,daft,A
q_20289,accommodating,A
q_20290,inventive,A
q_20291,disciplined,A
q_20292,negligent,A
q_20293,weepy,A
q_20294,crass,A
q_20295,unwild,A
q_20296,forbearing,A
q_20297,plain-spoken,A
q_20298,hoggish,A
q_20299,self-reflective,A
q_20300,peripatetic,A
q_20301,slipshod,A
q_20302,unconventional,A
q_20303,thick,A
q_20304,sarcastic,A
q_20305,many-sided,A
q_20306,nagging,A
q_20307,expansive,A
q_20308,overtalkative,A
q_20309,self-restrained,A
q_20310,ceremonious,A
q_20311,overstepping,A
q_20312,tame,A
q_20313,conceited,A
q_20314,unimpatient,A
q_20315,unmodifiable,A
q_20316,burned-out,A
q_20317,deep,A
q_20318,capricious,A
q_20319,listless,A
q_20320,insecure,A
q_20321,dissatisfied,A
q_20322,frank,A
q_20323,receiving,A
q_20324,uncalculating,A
q_20325,sober-minded,A
q_20326,informal,A
q_20327,adjustable,A
q_20328,affable,A
q_20329,dependable,A
q_20330,fishy,A
q_20331,giggly,A
q_20332,sanguine,A
q_20333,acquiescent,A
q_20334,unextravagant,A
q_20335,troublesome,A
q_20336,swellheaded,A
q_20337,cranky,A
q_20338,exhibitionistic,A
q_20339,flashy,A
q_20340,inelegant,A
q_20341,keen,A
q_20342,bookish,A
q_20343,babyish,A
q_20344,mistrustful,A
q_20345,imaginative,A
q_20346,pacifistic,A
q_20347,nonrigid,A
q_20348,impolitic,A
q_20349,systematic,A
q_20350,ascendant,A
q_20351,discourageable,A
q_20352,loutish,A
q_20353,physical,A
q_20354,overanxious,A
q_20355,awesome,A
q_20356,cautious,A
q_20357,boastless,A
q_20358,arrogant,A
q_20359,absent-minded,A
q_20360,predatory,A
q_20361,unstudious,A
q_20362,intimidating,A
q_20363,unenergetic,A
q_20364,unassisting,A
q_20365,funny,A
q_20366,annoyed,A
q_20367,effeminate,A
q_20368,overrefined,A
q_20369,daring,A
q_20370,thinking,A
q_20371,seedy,A
q_20372,voluptuous,A
q_20373,unneighborly,A
q_20374,scowling,A
q_20375,exact,A
q_20376,discourteous,A
q_20377,unbusinesslike,A
q_20378,unworldly,A
q_20379,introspective,A
q_20380,amiable,A
q_20381,authoritarian,A
q_20382,unbelievable,A
q_20383,deceivable,A
q_20384,lawless,A
q_20385,theatrical,A
q_20386,delusional,A
q_20387,fractious,A
q_20388,probing,A
q_20389,dirty,A
q_20390,solitary,A
q_20391,officious,A
q_20392,unaccomplished,A
q_20393,heroic,A
q_20394,open-faced,A
q_20395,ingenious,A
q_20396,handy,A
q_20397,adroit,A
q_20398,magnanimous,A
q_20399,irresolute,A
q_20400,unsubmissive,A
q_20401,idiotic,A
q_20402,damaging,A
q_20403,one-sided,A
q_20404,unbendable,A
q_20405,platitudinous,A
q_20406,superficial,A
q_20407,unaiding,A
q_20408,dainty,A
q_20409,political,A
q_20410,nonsensical,A
q_20411,perceptive,A
q_20412,knavish,A
q_20413,shrinking,A
q_20414,misleadable,A
q_20415,open-minded,A
q_20416,friendly,A
q_20417,undivertible,A
q_20418,good-natured,A
q_20419,embracing,A
q_20420,noncompliant,A
q_20421,clingy,A
q_20422,puritanical,A
q_20423,appealing,A
q_20424,compulsive,A
q_20425,delicate,A
q_20426,overhasty,A
q_20427,prideless,A
q_20428,technical,A
q_20429,unpredictable,A
q_20430,libidinous,A
q_20431,mothering,A
q_20432,obstreperous,A
q_20433,unsunny,A
q_20434,communicative,A
q_20435,uncompetitive,A
q_20436,dressy,A
q_20437,private,A
q_20438,unselfish,A
q_20439,self-reliant,A
q_20440,desirable,A
q_20441,magnetic,A
q_20442,uncontrolled,A
q_20443,incautious,A
q_20444,decent,A
q_20445,reluctant,A
q_20446,unsavory,A
q_20447,dynamic,A
q_20448,adorable,A
q_20449,concealing,A
q_20450,impaired,A
q_20451,understandable,A
q_20452,prominent,A
q_20453,self-important,A
q_20454,willful,A
q_20455,resigned,A
q_20456,irrepressible,A
q_20457,sporty,A
q_20458,untalkative,A
q_20459,comprehensive,A
q_20460,self-correcting,A
q_20461,labile,A
q_20462,self-excusing,A
q_20463,unskeptical,A
q_20464,courtly,A
q_20465,statesmanlike,A
q_20466,homeless,A
q_20467,unmaidenly,A
q_20468,forceless,A
q_20469,unbiased,A
q_20470,legalistic,A
q_20471,eager,A
q_20472,zealless,A
q_20473,free-living,A
q_20474,hard-hearted,A
q_20475,blithe,A
q_20476,useful,A
q_20477,progressive,A
q_20478,somber,A
q_20479,tall,A
q_20480,unvocal,A
q_20481,thoroughgoing,A
q_20482,unenterprising,A
q_20483,unsettled,A
q_20484,twisted,A
q_20485,uncritical,A
q_20486,bossy,A
q_20487,indirect,A
q_20488,ultrasentimental,A
q_20489,browbeating,A
q_20490,silent,A
q_20491,unstormy,A
q_20492,autocratic,A
q_20493,malleable,A
q_20494,unmethodical,A
q_20495,sly,A
q_20496,unpolished,A
q_20497,idolatrous,A
q_20498,hesitant,A
q_20499,psychopathic,A
q_20500,challenging,A
q_20501,clear-cut,A
q_20502,conservative,A
q_20503,nihilistic,A
q_20504,single-minded,A
q_20505,unanalytic,A
q_20506,thriftless,A
q_20507,stingy,A
q_20508,overtrained,A
q_20509,covetous,A
q_20510,unconstrained,A
q_20511,familiar,A
q_20512,controversial,A
q_20513,vague,A
q_20514,forgetful,A
q_20515,meddlesome,A
q_20516,levelheaded,A
q_20517,antisocial,A
q_20518,self-reproachful,A
q_20519,equitable,A
q_20520,eloquent,A
q_20521,immoderate,A
q_20522,self-destructive,A
q_20523,youthful,A
q_20524,jealous,A
q_20525,gregarious,A
q_20526,foolish,A
q_20527,inoffensive,A
q_20528,uncordial,A
q_20529,unconfident,A
q_20530,contrary,A
q_20531,weak-hearted,A
q_20532,unloving,A
q_20533,unprogressive,A
q_20534,unequivocal,A
q_20535,stark,A
q_20536,extraordinary,A
q_20537,obnoxious,A
q_20538,delinquent,A
q_20539,wishy-washy,A
q_20540,invincible,A
q_20541,overdaring,A
q_20542,prosaic,A
q_20543,blaming,A
q_20544,aphoristic,A
q_20545,questioning,A
q_20546,fraternal,A
q_20547,bleak,A
q_20548,nimble-witted,A
q_20549,envious,A
q_20550,unstirrable,A
q_20551,outgoing,A
q_20552,overwomanly,A
q_20553,bitter,A
q_20554,middle-class,A
q_20555,aware,A
q_20556,depraved,A
q_20557,undemonstrative,A
q_20558,apolitical,A
q_20559,overemotional,A
q_20560,undisciplined,A
q_20561,stodgy,A
q_20562,mysterious,A
q_20563,discursive,A
q_20564,lecherous,A
q_20565,orthodox,A
q_20566,hectic,A
q_20567,punishing,A
q_20568,slow,A
q_20569,scandalmongering,A
q_20570,harmless,A
q_20571,incredulous,A
q_20572,undeceptive,A
q_20573,dour,A
q_20574,reproachful,A
q_20575,unimaginative,A
q_20576,uncorrupted,A
q_20577,dreamy,A
q_20578,unflagging,A
q_20579,inhuman,A
q_20580,otherworldly,A
q_20581,seething,A
q_20582,unalert,A
q_20583,unanimated,A
q_20584,devilish,A
q_20585,patriotic,A
q_20586,unguarded,A
q_20587,invalidating,A
q_20588,fake,A
q_20589,soft-spoken,A
q_20590,cloying,A
q_20591,zany,A
q_20592,compassionless,A
q_20593,merciful,A
q_20594,womanly,A
q_20595,ardent,A
q_20596,affected,A
q_20597,unhasty,A
q_20598,dedicated,A
q_20599,earthy,A
q_20600,overvaliant,A
q_20601,overeager,A
q_20602,boring,A
q_20603,avaricious,A
q_20604,earnest,A
q_20605,righteous,A
q_20606,untender,A
q_20607,inhumane,A
q_20608,clannish,A
q_20609,tender-hearted,A
q_20610,peculiar,A
q_20611,ill-willed,A
q_20612,screwy,A
q_20613,improper,A
q_20614,unmindful,A
q_20615,contemplative,A
q_20616,militant,A
q_20617,nonchalant,A
q_20618,droll,A
q_20619,unpleasable,A
q_20620,fashionable,A
q_20621,definite,A
q_20622,fat,A
q_20623,pure,A
q_20624,smooth-spoken,A
q_20625,unpresuming,A
q_20626,worrying,A
q_20627,childlike,A
q_20628,reliable,A
q_20629,sensitive,A
q_20630,oversevere,A
q_20631,unsociable,A
q_20632,mindful,A
q_20633,unpartisan,A
q_20634,fragile,A
q_20635,whimsical,A
q_20636,virile,A
q_20637,overearnest,A
q_20638,lachrymose,A
q_20639,neutral,A
q_20640,demanding,A
q_20641,meandering,A
q_20642,autonomous,A
q_20643,assuring,A
q_20644,good-humored,A
q_20645,economizing,A
q_20646,unable,A
q_20647,wasteful,A
q_20648,comfortable,A
q_20649,inaccessible,A
q_20650,knowledgeable,A
q_20651,unvoluptuous,A
q_20652,big-headed,A
q_20653,strict,A
q_20654,oblivious,A
q_20655,broken,A
q_20656,wealthy,A
q_20657,moping,A
q_20658,incisive,A
q_20659,unemployed,A
q_20660,sophisticated,A
q_20661,immovable,A
q_20662,perverted,A
q_20663,overbitter,A
q_20664,uncivilized,A
q_20665,cool-headed,A
q_20666,dejected,A
q_20667,believable,A
q_20668,strong-minded,A
q_20669,feminine,A
q_20670,calculable,A
q_20671,self-expressive,A
q_20672,thorny,A
q_20673,confusable,A
q_20674,self-defeating,A
q_20675,big,A
q_20676,grandmotherly,A
q_20677,reclusive,A
q_20678,munificent,A
q_20679,halfwitted,A
q_20680,timorous,A
q_20681,rational,A
q_20682,abstract,A
q_20683,docile,A
q_20684,stately,A
q_20685,oversolicitous,A
q_20686,encouraging,A
q_20687,unbelligerent,A
q_20688,upright,A
q_20689,scampish,A
q_20690,matronly,A
q_20691,didactic,A
q_20692,derisive,A
q_20693,dull,A
q_20694,vibrant,A
q_20695,double-faced,A
q_20696,persevering,A
q_20697,abnormal,A
q_20698,adventurous,A
q_20699,pugnacious,A
q_20700,unforseeing,A
q_20701,hopeless,A
q_20702,airy,A
q_20703,incorrupt,A
q_20704,uninspired,A
q_20705,kittenish,A
q_20706,expeditious,A
q_20707,spoiled,A
q_20708,adulterous,A
q_20709,piggish,A
q_20710,sententious,A
q_20711,scrounging,A
q_20712,overfearful,A
q_20713,coercive,A
q_20714,parental,A
q_20715,overambitious,A
q_20716,soft,A
q_20717,undiscourageable,A
q_20718,leisureless,A
q_20719,brash,A
q_20720,mushy,A
q_20721,deliberative,A
q_20722,highfalutin,A
q_20723,patriarchal,A
q_20724,undutiful,A
q_20725,vicious,A
q_20726,childish,A
q_20727,purposeless,A
q_20728,abrasive,A
q_20729,profound,A
q_20730,unobliging,A
q_20731,flinching,A
q_20732,rascally,A
q_20733,purposeful,A
q_20734,crotchety,A
q_20735,self-disparaging,A
q_20736,imitative,A
q_20737,vociferous,A
q_20738,reckless,A
q_20739,self-disciplined,A
q_20740,delighted,A
q_20741,nurturing,A
q_20742,unexplosive,A
q_20743,sickly,A
q_20744,unsystematic,A
q_20745,impressionable,A
q_20746,dissocial,A
q_20747,hardworking,A
q_20748,florid,A
q_20749,sincere,A
q_20750,egotistical,A
q_20751,steadfast,A
q_20752,homicidal,A
q_20753,disgruntled,A
q_20754,noble,A
q_20755,intrusive,A
q_20756,intrepid,A
q_20757,arbitrative,A
q_20758,sinister,A
q_20759,reformative,A
q_20760,finicky,A
q_20761,esoteric,A
q_20762,undiplomatic,A
q_20763,accessible,A
q_20764,untemptable,A
q_20765,enlightened,A
q_20766,stubborn,A
q_20767,meddling,A
q_20768,anxious,A
q_20769,cute,A
q_20770,unheroic,A
q_20771,unkindly,A
q_20772,cliquish,A
q_20773,quibbling,A
q_20774,mouthy,A
q_20775,defensive,A
q_20776,overgreedy,A
q_20777,self-effacing,A
q_20778,unrealistic,A
q_20779,certain,A
q_20780,fair-natured,A
q_20781,unconcealing,A
q_20782,harassing,A
q_20783,FALSE,A
q_20784,unmerry,A
q_20785,disagreeable,A
q_20786,unfettered,A
q_20787,unchanging,A
q_20788,impious,A
q_20789,footloose,A
q_20791,lighthearted,A
q_20792,inviting,A
q_20793,brazen,A
q_20794,holy,A
q_20795,lyrical,A
q_20796,easeless,A
q_20797,excited,A
q_20798,soft-hearted,A
q_20799,seditious,A
q_20800,unattractive,A
q_20801,clinging,A
q_20802,pretenseful,A
q_20803,respectful,A
q_20804,jolly,A
q_20805,outraged,A
q_20806,participative,A
q_20807,thorough,A
q_20808,ominous,A
q_20809,unagreeable,A
q_20810,aggravating,A
q_20811,unaffectionate,A
q_20812,unencumbered,A
q_20813,folksy,A
q_20814,normal,A
q_20815,melodramatic,A
q_20816,flatterable,A
q_20817,difficult,A
q_20818,polite,A
q_20819,laughing,A
q_20820,enthusiastic,A
q_20821,indefinite,A
q_20822,awful,A
q_20823,tireless,A
q_20824,uncunning,A
q_20825,prompt,A
q_20826,warm,A
q_20827,leadable,A
q_20828,world-weary,A
q_20829,animated,A
q_20830,lordly,A
q_20831,contemptuous,A
q_20832,unfailing,A
q_20833,unstable,A
q_20834,self-loathing,A
q_20835,hypochondriac,A
q_20836,significant,A
q_20837,overweening,A
q_20838,unteachable,A
q_20839,controlling,A
q_20840,overmodest,A
q_20841,provocative,A
q_20842,tenderminded,A
q_20843,threatening,A
q_20844,variable,A
q_20845,temperate,A
q_20846,ungenteel,A
q_20847,interesting,A
q_20848,prognosticating,A
q_20849,heartbroken,A
q_20850,lavish,A
q_20851,maniacal,A
q_20852,soldierly,A
q_20853,simpleminded,A
q_20854,emergent,A
q_20855,lusty,A
q_20856,tentative,A
q_20857,modern,A
q_20858,noisy,A
q_20859,peppy,A
q_20860,unobservant,A
q_20861,matter-of-fact,A
q_20862,unpolite,A
q_20863,insensitive,A
q_20864,uncurious,A
q_20865,unthinking,A
q_20866,ill-tempered,A
q_20867,sparkling,A
q_20868,unimpressionable,A
q_20869,ungodly,A
q_20870,combative,A
q_20871,mawkish,A
q_20872,divisive,A
q_20873,merry,A
q_20874,irreformable,A
q_20875,nonegotistical,A
q_20876,ungallant,A
q_20877,ornery,A
q_20878,compliant,A
q_20879,unniggardly,A
q_20880,superstitious,A
q_20881,dispassionate,A
q_20882,shortsighted,A
q_20883,uncurbable,A
q_20884,conceitless,A
q_20885,undisguised,A
q_20886,mutinous,A
q_20887,partisan,A
q_20888,smart,A
q_20889,garish,A
q_20890,unclear,A
q_20891,untasteful,A
q_20892,gushy,A
q_20893,intuiting,A
q_20894,chitchatty,A
q_20895,self-possessed,A
q_20896,cowardly,A
q_20897,uninventive,A
q_20898,unboastful,A
q_20899,conspicuous,A
q_20900,unsevere,A
q_20901,fatuous,A
q_20902,casual,A
q_20903,undiligent,A
q_20904,hot-blooded,A
q_20905,fine,A
q_20906,monkish,A
q_20907,bubbly,A
q_20908,philanthropic,A
q_20909,coquettish,A
q_20910,ironical,A
q_20911,uncomplicated,A
q_20912,faint-hearted,A
q_20913,great,A
q_20914,unsolicitous,A
q_20915,rambunctious,A
q_20916,sober,A
q_20917,god-fearing,A
q_20918,devout,A
q_20919,ingratiating,A
q_20920,ultraconservative,A
q_20921,trusting,A
q_20922,scary,A
q_20923,tasteless,A
q_20924,salty,A
q_20925,unpoised,A
q_20926,unimpressed,A
q_20927,recondite,A
q_20928,overindulgent,A
q_20929,uncivil,A
q_20930,unembittered,A
q_20931,self-involved,A
q_20932,free-minded,A
q_20933,impatient,A
q_20934,unmeek,A
q_20935,perfectionistic,A
q_20936,spirited,A
q_20937,yearning,A
q_20938,whorish,A
q_20939,fortunate,A
q_20940,overpassionate,A
q_20941,doting,A
q_20942,sporting,A
q_20943,irascible,A
q_20944,snide,A
q_20945,conniving,A
q_20946,crazy,A
q_20947,steady,A
q_20948,undeliberate,A
q_20949,forethoughtful,A
q_20950,kind,A
q_20951,sycophantic,A
q_20952,luckless,A
q_20953,insuppressible,A
q_20954,expressive,A
q_20955,disarming,A
q_20956,habitual,A
q_20957,slovenly,A
q_20958,fatigueless,A
q_20959,inharmonious,A
q_20960,helpful,A
q_20961,receptive,A
q_20962,passionless,A
q_20963,overthoughtful,A
q_20964,mischievous,A
q_20965,self-deceiving,A
q_20966,intellectual,A
q_20967,long-winded,A
q_20968,indestructible,A
q_20969,gabby,A
q_20970,larcenous,A
q_20971,punctilious,A
q_20972,fickle,A
q_20973,ruminative,A
q_20974,jumpy,A
q_20975,concise,A
q_20976,unethical,A
q_20977,unfraternal,A
q_20978,overjealous,A
q_20979,inefficient,A
q_20980,aimful,A
q_20981,consolatory,A
q_20982,unrestrained,A
q_20983,hateful,A
q_20984,divertible,A
q_20985,unswayable,A
q_20986,sinful,A
q_20987,well-mannered,A
q_20988,unpersuadable,A
q_20989,stout-hearted,A
q_20990,worldly,A
q_20991,ungraceful,A
q_20992,vigorless,A
q_20993,pliant,A
q_20994,inarticulate,A
q_20995,stalwart,A
q_20996,kingly,A
q_20997,leering,A
q_20998,adversarial,A
q_20999,unmannered,A
q_21000,self-deluding,A
q_21001,nonconforming,A
q_21002,benevolent,A
q_21003,unfeminine,A
q_21004,maudlin,A
q_21005,original,A
q_21006,impersonal,A
q_21007,pretentious,A
q_21008,nosy,A
q_21009,double-tongued,A
q_21010,alert,A
q_21011,unscrupulous,A
q_21012,mannerless,A
q_21013,resilient,A
q_21014,fearful,A
q_21015,untruthful,A
q_21016,kindhearted,A
q_21017,overharsh,A
q_21018,grabby,A
q_21019,painstaking,A
q_21020,kinky,A
q_21021,likeable,A
q_21022,sheepish,A
q_21023,amazing,A
q_21024,watchful,A
q_21025,brainless,A
q_21026,vitriolic,A
q_21027,unmeddling,A
q_21028,buffoonish,A
q_21029,unforgetful,A
q_21030,fierce,A
q_21031,macabre,A
q_21032,scheduled,A
q_21033,energetic,A
q_21034,panicky,A
q_21035,brilliant,A
q_21036,showy,A
q_21037,penny-wise,A
q_21038,joyful,A
q_21039,unhelpful,A
q_21040,studious,A
q_21041,analytical,A
q_21042,cheesy,A
q_21043,planless,A
q_21044,impulsive,A
q_21045,cultivating,A
q_21046,lethargic,A
q_21047,muscular,A
q_21048,unruly,A
q_21049,critical,A
q_21050,fawning,A
q_21051,sociable,A
q_21052,wicked,A
q_21053,weak-spirited,A
q_21054,well-spoken,A
q_21055,festive,A
q_21056,self-conscious,A
q_21057,intransigent,A
q_21058,philosophical,A
q_21059,wise,A
q_21060,scandalous,A
q_21061,persuasive,A
q_21062,impetuous,A
q_21063,humanitarian,A
q_21064,tactile,A
q_21065,mechanistic,A
q_21066,persuadable,A
q_21067,unsullied,A
q_21068,dull-witted,A
q_21069,volatile,A
q_21070,demure,A
q_21071,bristling,A
q_21072,unsentimental,A
q_21073,usurping,A
q_21074,vapid,A
q_21075,hospitable,A
q_21076,wry,A
q_21077,scientific,A
q_21078,weird,A
q_21079,tactical,A
q_21080,nonvocal,A
q_21081,overproud,A
q_21082,prejudiced,A
q_21083,informative,A
q_21084,uninvestigative,A
q_21085,unlearned,A
q_21086,overserious,A
q_21087,overbold,A
q_21088,indomitable,A
q_21089,mirthless,A
q_21090,secure,A
q_21091,trusty,A
q_21092,derogatory,A
q_21093,muddle-headed,A
q_21094,amusing,A
q_21095,injudicious,A
q_21096,disengaged,A
q_21097,unrelenting,A
q_21098,ungrudging,A
q_21099,irreligious,A
q_21100,praising,A
q_21101,sensible,A
q_21102,dreary,A
q_21103,mumbling,A
q_21104,rudderless,A
q_21105,unostentatious,A
q_21106,unpliable,A
q_21107,suspicious,A
q_21108,unconscientious,A
q_21109,overcaring,A
q_21110,soft-shelled,A
q_21111,controlled,A
q_21112,sick,A
q_21113,sharp-tongued,A
q_21114,ill-mannered,A
q_21115,unadaptable,A
q_21116,undemanding,A
q_21117,flippant,A
q_21118,unshakable,A
q_21119,forthcoming,A
q_21120,distinguished,A
q_21121,nonirritable,A
q_21122,hungry,A
q_21123,spritely,A
q_21124,pacifying,A
q_21125,industrious,A
q_21126,disrespectful,A
q_21127,conforming,A
q_21128,unamusable,A
q_21129,smutty,A
q_21130,submissive,A
q_21131,unsympathetic,A
q_21132,jeering,A
q_21133,particular,A
q_21134,unbewailing,A
q_21135,chipper,A
q_21136,luxurious,A
q_21137,unforcible,A
q_21138,passive,A
q_21139,dignified,A
q_21140,rivalrous,A
q_21141,overloud,A
q_21142,skeptical,A
q_21143,irritable,A
q_21144,vulgar,A
q_21145,humane,A
q_21146,busyish,A
q_21147,undiscerning,A
q_21149,overstrict,A
q_21150,manipulable,A
q_21151,pesky,A
q_21152,impertinent,A
q_21153,unsolemn,A
q_21154,denigrating,A
q_21155,zealous,A
q_21156,untamable,A
q_21157,capable,A
q_21158,withdrawn,A
q_21159,circumspect,A
q_21160,noninterfering,A
q_21161,counselable,A
q_21162,woeful,A
q_21163,restless,A
q_21164,corrective,A
q_21165,authoritative,A
q_21166,petty,A
q_21167,mirthful,A
q_21168,adaptable,A
q_21169,languid,A
q_21170,lascivious,A
q_21171,neurotic,A
q_21172,reflective,A
q_21173,moody,A
q_21174,uncharitable,A
q_21175,thoughtless,A
q_21176,philandering,A
q_21177,prejudiceless,A
q_21178,uningenious,A
q_21179,raunchy,A
q_21180,reactionary,A
q_21181,unargumentative,A
q_21182,confident,A
q_21183,unpretentious,A
q_21184,contradictory,A
q_21186,liberal,A
q_21187,informed,A
q_21188,clear-sighted,A
q_21189,conventional,A
q_21190,scrupulous,A
q_21191,sputtering,A
q_21192,unmalicious,A
q_21193,oversentimental,A
q_21194,racy,A
q_21195,bountiful,A
q_21196,revengeful,A
q_21197,tough-minded,A
